Var1,Var2,Var3
138.96,139.81,1
139.82,140.78,1
140.79,141.03,1
141.04,141.2,1
141.21,141.94,1
142.54,144.72,1
145.16,145.26,1
145.27,145.49,1
145.5,147.03,1
147.04,147.17,1
147.18,147.28,1
147.29,147.78,1
147.79,148.65,1
149.18,150.5,1
150.63,152.03,1
152.04,152.25,1
152.26,152.46,1
152.47,153.21,1
153.22,153.64,1
153.94,154.01,2
154.02,154.18,2
154.19,154.51,2
154.52,154.71,2
154.72,154.95,2
154.96,155.3,2
155.31,155.77,2
155.78,156.24,2
156.25,156.72,2
157.57,157.93,2
157.94,158.93,2
158.94,159.03,2
159.04,159.78,2
159.79,159.95,2
159.96,160.08,2
160.69,161.07,2
161.08,161.28,2
161.29,162.28,2
162.29,162.49,2
162.5,162.74,2
162.75,162.92,2
164.5,165.93,2
166.5,167.91,2
168.32,169.31,1
170.14,173.19,1
173.22,174.87,1
175.65,176.86,1
176.99,177.62,1
178.06,179.36,1
180.05,181.34,1
181.37,181.96,1
182.37,182.66,1
182.71,183.45,1
183.68,185.18,2
186.39,188.47,2
188.91,191.39,2
192.74,194.04,2
195.24,198.6,2
198.82,200.49,1
200.52,201.12,1
201.58,201.89,1
201.96,203,1
203.75,206.61,1
207.87,210.42,1
210.48,211.23,1
211.28,212.65,1
212.9,215.62,2
216.85,217.68,2
218.26,219.67,2
220,222.44,2
222.83,224.07,2
224.88,226.86,2
227.09,228.5,1
228.91,231.44,1
231.73,233.58,1
233.94,236.78,1
237.56,239.28,1
239.41,241.09,1
241.16,241.81,2
242.05,243.95,2
245.52,247.88,2
248.24,249.49,2
249.75,251.43,2
252.78,255.22,2
255.52,256.18,1
256.19,256.49,1
256.5,257.93,1
257.94,258.29,1
259.1,259.66,1
259.67,260.85,1
260.86,261.06,1
261.07,261.93,1
262.45,262.69,1
262.7,262.86,1
262.87,264.5,1
264.51,264.85,1
265.57,265.69,1
265.7,266.03,1
266.04,266.13,1
266.14,266.44,1
266.45,266.72,1
266.73,266.93,1
267.07,267.29,2
267.3,267.92,2
267.93,268.31,2
268.32,268.68,2
268.69,268.84,2
268.85,268.96,2
268.97,269.07,2
269.08,269.46,2
269.47,269.67,2
269.68,269.74,2
269.75,269.96,2
269.97,270.32,2
271.02,271.1,2
271.11,271.86,2
271.87,272.04,2
272.05,273.61,2
273.62,273.67,2
273.68,274.38,2
274.89,275.11,2
275.12,275.19,2
275.2,275.49,2
275.5,276.23,2
276.73,277.23,2
277.24,277.55,2
277.56,278.05,2
278.06,278.92,2
280.33,280.46,2
280.47,281.17,2
281.18,281.23,2
281.24,281.35,2
281.36,281.8,2
281.81,282.01,2
282.02,282.32,2
282.33,282.55,2
282.62,282.75,1
282.76,283.01,1
283.02,283.48,1
283.49,283.69,1
283.79,284.03,1
284.04,284.26,1
284.27,284.54,1
284.55,284.97,1
284.98,285.34,1
285.35,285.47,1
285.48,286.14,1
286.83,286.92,1
286.93,287.31,1
287.32,287.78,1
287.79,288.59,1
288.7,288.81,1
288.82,289.01,1
289.02,289.51,1
289.52,289.87,1
290.44,290.59,1
290.6,291.43,1
291.44,291.66,1
291.67,292.1,1
292.11,292.17,1
292.18,292.62,1
292.63,293.65,1
293.66,293.81,1
293.82,294.61,1
294.62,294.87,1
295.37,295.68,1
295.69,296.11,1
296.22,296.32,2
296.33,296.44,2
296.45,297.23,2
297.24,297.31,2
297.32,298.04,2
298.05,298.31,2
298.32,298.62,2
298.63,299.5,2
300.95,301.06,2
301.07,301.21,2
301.22,301.31,2
301.32,301.66,2
301.67,302.99,2
303,304.63,2
306.12,306.25,2
306.26,306.74,2
306.75,307.12,2
307.13,307.51,2
307.85,308.11,2
308.12,308.17,2
308.18,308.54,2
308.55,309.8,2
309.81,310.16,2
310.17,310.53,2
310.81,310.94,1
310.95,311.63,1
311.64,311.89,1
311.92,312.23,1
312.24,312.46,1
312.47,312.77,1
313.38,313.5,1
313.51,314.13,1
314.2,314.43,1
314.44,315.45,1
315.77,316.01,2
316.02,316.29,2
316.3,316.53,2
316.54,316.67,2
316.68,316.73,2
316.74,317.01,2
317.02,317.26,2
317.52,317.59,2
317.6,318.12,2
318.13,318.55,2
318.56,318.87,2
318.88,319.01,2
319.02,319.21,2
319.22,319.6,2
320.69,321.71,2
321.72,321.97,2
321.98,322.34,2
322.7,323.31,2
323.32,323.75,2
324.05,324.31,2
324.32,324.92,2
326.39,326.48,2
326.49,327.2,2
327.76,328.85,2
329.86,330.8,2
331,332.57,1
333.05,336.19,1
336.74,339.64,1
340,344,1
344.33,345.14,1
345.28,347.27,2
347.83,349.42,2
349.66,351.7,2
351.96,353.57,2
353.91,355.39,2
356.38,357.95,2
358.2,358.87,2
358.92,359.82,2
360.07,361.08,1
361.13,364.43,1
364.76,366.13,1
366.2,367.57,1
367.87,369.31,1
369.78,372.67,1
373.02,375.02,2
375.53,376.3,2
376.79,377.59,2
378.01,381.02,2
382.55,385.98,2
386.56,387.96,2
388.38,391.13,1
391.45,394.11,1
394.26,394.66,1
395.29,397.9,1
398.84,399.81,1
399.91,400.69,1
401.02,402.17,1
402.39,404.36,2
404.62,406.19,2
407.04,408.26,2
408.76,409.74,2
410.12,411.83,2
412.05,412.3,2
412.33,413.77,2
415.15,415.94,2
416.5,417.49,2
417.75,420.38,1
420.58,421.66,1
422.48,424.69,1
424.75,425.93,1
426.27,427.87,1
427.9,428.8,1
429.32,430.83,1
431.21,432.63,1
432.73,434.33,2
434.56,436.14,2
436.49,439.96,2
440.86,441.39,2
441.42,443.51,2
443.95,446.33,2
446.54,449.31,1
450.13,452.09,1
452.44,454.42,1
455.13,458.38,1
459.27,460.1,1
460.25,460.91,2
461.39,462.93,2
463.37,466.09,2
466.61,468.17,2
468.59,470.03,2
470.06,471.28,2
471.9,472.75,2
472.96,473.66,2
473.84,476.79,1
476.91,477.35,1
477.48,478.34,1
478.41,480.8,1
480.92,482.03,1
482.46,486.92,1
487.19,489.31,2
489.6,490.77,2
490.94,492.92,2
493.24,495.9,2
496.72,498.27,2
498.76,500.48,2
500.74,502.06,2
502.17,503.42,1
503.45,505.94,1
506.27,508.06,1
508.11,509.48,1
509.51,510.69,1
510.88,512.79,1
513.12,513.2,1
513.21,513.42,1
513.45,514.14,1
514.15,515.2,1
515.21,515.74,1
515.75,515.86,1
515.87,515.98,1
515.99,516.52,1
516.53,517.16,1
517.34,517.45,2
517.46,517.96,2
518.75,519.22,2
519.23,519.73,2
519.96,520.64,2
520.65,521.11,2
521.12,521.65,2
522.58,522.73,2
522.74,522.93,2
522.94,523.14,2
523.15,523.69,2
524.19,524.57,2
524.58,524.85,2
524.86,525.08,2
525.09,525.59,2
526.16,526.96,2
526.97,527.14,2
527.15,527.34,2
527.35,527.49,2
527.5,527.72,2
527.73,528.23,2
528.24,528.35,2
528.36,528.87,2
528.88,529.29,2
529.69,529.83,2
529.84,531.09,2
531.1,531.22,2
531.23,531.7,2
531.71,531.89,2
531.9,532.12,2
532.49,532.59,1
532.6,532.78,1
532.79,533.01,1
533.02,533.46,1
533.47,533.77,1
533.91,534.09,1
534.1,534.6,1
534.61,534.84,1
534.91,535.07,1
535.08,535.71,1
536.04,536.18,2
536.19,536.86,2
537.14,537.52,2
537.53,538.34,2
538.35,538.88,2
538.89,539.47,2
539.48,539.77,2
540.1,541.88,2
542.62,542.96,2
542.97,543.6,2
543.61,544.08,2
544.09,544.85,2
544.86,545.09,2
545.1,545.72,2
545.73,546.11,2
547.02,547.21,2
547.22,547.46,2
547.47,547.97,2
547.98,548.24,2
548.25,548.56,2
548.87,548.97,2
548.98,549.38,2
549.39,549.72,2
549.73,550.14,2
550.15,550.22,2
550.23,550.62,2
550.63,550.72,2
550.73,550.95,2
551.15,552.28,1
552.29,553.03,1
553.04,553.36,1
553.5,553.74,1
553.75,554.45,1
554.46,554.85,1
554.86,555.37,1
555.38,555.62,1
555.63,556.56,1
557,557.09,1
557.1,557.49,1
557.5,557.71,1
557.72,558.52,1
558.53,558.81,1
558.96,559.08,1
559.09,559.98,1
559.99,560.86,1
560.87,561.1,1
561.11,561.75,1
561.76,562.76,1
562.99,563.94,2
563.95,564.07,2
564.38,565.08,2
565.09,565.31,2
565.32,566.45,2
566.46,566.64,2
566.65,567.1,2
567.91,567.99,2
568,568.34,2
568.35,568.48,2
568.49,569.69,2
569.7,570.37,2
570.86,571.34,2
571.35,571.61,2
571.82,573.31,2
573.8,573.99,2
574,574.11,2
574.12,574.34,2
574.58,574.76,2
574.77,575.12,2
575.13,575.71,2
575.72,575.86,2
575.87,576.28,2
576.34,576.59,1
576.6,577.89,1
577.9,578.46,1
578.47,578.79,1
579.15,579.35,1
579.36,580.11,1
580.12,580.62,1
580.63,580.84,1
580.87,581.45,1
581.46,581.91,1
582.71,584.14,1
584.72,585.2,1
585.21,585.37,1
585.38,586.76,1
586.77,586.99,1
587,587.59,1
587.77,588.25,2
588.26,589.33,2
589.67,589.78,2
589.79,590.22,2
590.23,590.98,2
590.99,591.22,2
591.83,592.21,2
592.22,592.88,2
593.32,593.59,2
593.6,594.98,2
594.99,595.49,2
595.98,596.09,2
596.1,596.38,2
596.39,597.22,2
597.23,597.34,2
597.35,597.75,2
597.76,598.2,2
598.4,598.59,2
598.6,599.24,2
599.25,599.49,2
599.5,599.59,2
599.6,600.01,2
